Número de extracción;Fecha;Numero de compresor en servicio;Presión de succión (kg/cm2);Temperatura de succión (°C);Presión de descarga (kg/cm2);Temperatura de descarga (°C);Presión de aceite (kg/cm2);Presión en tanque recibidor (MPa);Presión de acumulador (MPa);Presión en camisa de votator A (kg/cm2);Presión en camisa de votator B (kg/cm2);Presión en camisa de votator C (MPa);Posición bomba triplex 1 (osc/min);Posición bomba triplex 2 (osc/min);Posición bomba triplex 3 (osc/min)
069;3/16/2020 4:30:00 AM;4;2,7;Sin medicion;1,05;Sin medicion;5,6;1;2,9;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
069;3/16/2020 6:24:31 AM;1;2;6;10,2;76;5;1,4;0,21;2,9;2,9;Sin medicion;30;30;Sin medicion
069;3/16/2020 6:24:31 AM;4;2,5;Sin medicion;11;Sin medicion;5,5;1;0,24;Sin medicion;Sin medicion;0,32;Sin medicion;Sin medicion;31
069;3/16/2020 12:16:45 PM;1;1,9;6;10,3;74;5;1,2;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
069;3/16/2020 12:16:45 PM;4;2,5;Sin medicion;11;Sin medicion;5,3;0,99;0,25;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
069;3/16/2020 10:30:00 PM;1;2,1;5;10,2;75;5,1;10,6;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
069;3/16/2020 10:30:00 PM;4;2,6;Sin medicion;10,5;Sin medicion;5,6;1;2,8;Sin medicion;Sin medicion;3,1;Sin medicion;Sin medicion;Sin medicion
070;3/17/2020 9:35:41 AM;1;2;7;10;78;5,2;1,4;0,22;2,9;2,9;Sin medicion;30;30;Sin medicion
070;3/17/2020 9:35:41 AM;4;2,2;Sin medicion;10,9;Sin medicion;5,3;1;0,25;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
071;3/18/2020 10:39:17 AM;1;2;6;10,2;76;5,2;1,2;0,22;2,8;2,8;Sin medicion;29;29;Sin medicion
071;3/18/2020 10:39:17 AM;4;2,3;Sin medicion;11;Sin medicion;5,5;1,1;0,24;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;30
071;3/19/2020 6:30:00 AM;1;2;4;10,1;74;5,1;10,5;2,1;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
071;3/19/2020 6:30:00 AM;4;2,8;Sin medicion;1,05;Sin medicion;5,8;1;3;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
072;3/19/2020 4:00:00 PM;1;2,2;8;10,5;78;5,4;11;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
072;3/19/2020 4:00:00 PM;4;2,8;Sin medicion;11,2;Sin medicion;5,8;1,07;3;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
072;3/19/2020 8:12:24 PM;1;2;7;10,3;78;5;1,4;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
072;3/19/2020 8:12:24 PM;4;2,3;Sin medicion;11;Sin medicion;5,3;0,98;2,6;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
072;3/20/2020 2:41:20 AM;1;2,1;6;10,2;78;5;1,4;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
072;3/20/2020 2:41:20 AM;4;2,3;Sin medicion;11;Sin medicion;5,2;1;0,25;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
072;3/20/2020 7:00:00 AM;1;2,2;5;10,2;75;5,2;10,6;2,4;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
072;3/20/2020 7:00:00 AM;4;2,7;Sin medicion;10,5;Sin medicion;5,6;1;3;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
073;3/20/2020 4:00:00 PM;1;2,1;8;10,4;78;5,2;10,8;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
073;3/20/2020 4:00:00 PM;4;2,7;Sin medicion;10,8;Sin medicion;5,7;1,03;3;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
073;3/21/2020 8:00:00 AM;1;2;6;10;80;5;1,03;0,24;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
073;3/21/2020 8:00:00 AM;4;2,1;Sin medicion;10;Sin medicion;5;0,9;0,25;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
074;3/21/2020 8:30:00 PM;1;2,1;6;10,2;76;5,2;10,6;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
074;3/21/2020 8:30:00 PM;4;2,7;Sin medicion;1,07;Sin medicion;5,7;1,02;2,9;Sin medicion;Sin medicion;3,2;Sin medicion;Sin medicion;Sin medicion
074;3/22/2020 12:00:00 AM;1;2,1;5;10;75;5,2;10,4;2,3;29;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
074;3/22/2020 12:00:00 AM;4;2,5;Sin medicion;1,05;Sin medicion;5,5;1;2,7;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
074;3/22/2020 3:00:00 AM;1;2;4;9,8;74;5;10,2;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
074;3/22/2020 3:00:00 AM;4;2,4;Sin medicion;1;Sin medicion;5,5;0,95;2,7;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
074;3/22/2020 8:00:00 AM;1;1,8;8;10;80;5;1,1;2,44;3;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
074;3/22/2020 8:00:00 AM;4;2,2;Sin medicion;10;Sin medicion;5;1;2,1;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
075;3/22/2020 9:00:00 PM;1;2;5;10;75;5,1;10,4;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
075;3/22/2020 9:00:00 PM;4;2,5;Sin medicion;1,05;Sin medicion;5,5;1;2,7;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
075;3/23/2020 12:00:00 AM;1;2;5;9,8;75;5,1;10,2;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
075;3/23/2020 12:00:00 AM;4;2,5;Sin medicion;1,02;Sin medicion;5,5;0,97;2,7;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
075;3/23/2020 3:00:00 AM;1;2;4;9,6;74;5,1;10;2,2;2,9;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
075;3/23/2020 3:00:00 AM;4;2,4;Sin medicion;1;Sin medicion;5,5;0,95;2,7;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
075;3/23/2020 7:00:00 AM;1;1,8;5;9,2;76;4,8;1;2,1;2,7;2,7;2,2;Sin medicion;Sin medicion;Sin medicion
076;3/24/2020 12:00:00 AM;1;2,2;7;10;78;5;1,12;2,3;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
076;3/24/2020 12:00:00 AM;4;2,3;Sin medicion;10;Sin medicion;5;1;2,1;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
076;3/24/2020 4:00:00 AM;1;2;6;9,5;76;5;1,02;2,1;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
076;3/24/2020 4:00:00 AM;4;2,5;Sin medicion;10;Sin medicion;5;0,1;2,1;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
076;3/24/2020 6:44:51 AM;1;2;6;10;76;5;1,2;0,22;2,9;2,9;Sin medicion;30;30;Sin medicion
076;3/24/2020 6:44:51 AM;4;2,4;Sin medicion;10,2;Sin medicion;5,5;1;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
077;3/25/2020 6:54:59 AM;1;1,8;6;9,5;74;5;1;0,21;2,8;2,8;Sin medicion;30;30;Sin medicion
077;3/25/2020 6:54:59 AM;4;2,5;Sin medicion;10,9;Sin medicion;5,3;1;2,6;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
078;3/26/2020 6:30:00 AM;1;2;4;10;74;5;10,4;2,1;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
078;3/26/2020 6:30:00 AM;4;2,6;Sin medicion;1,01;Sin medicion;5,6;0,96;2,7;Sin medicion;Sin medicion;2,9;Sin medicion;Sin medicion;Sin medicion
078;3/26/2020 11:00:00 AM;1;2,2;7;10,4;77;5,3;10,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
078;3/26/2020 11:00:00 AM;4;2,6;Sin medicion;1,07;Sin medicion;5,6;1,02;2,8;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
078;3/26/2020 3:00:00 PM;1;2,2;8;10,6;78;5,3;11;2,3;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
078;3/26/2020 3:00:00 PM;4;2,6;Sin medicion;1,08;Sin medicion;5,6;1,03;2,8;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
079;3/27/2020 6:30:00 AM;1;2,1;5;10;75;5,1;10,4;2,1;2,8;2,7;Sin medicion;Sin medicion;Sin medicion;Sin medicion
079;3/27/2020 6:30:00 AM;4;2,5;Sin medicion;1;Sin medicion;5,5;0,95;2,7;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
079;3/27/2020 11:00:00 AM;1;2,2;7;10,4;77;5,2;10,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
079;3/27/2020 11:00:00 AM;4;2,6;Sin medicion;10,4;Sin medicion;5,6;1;2,8;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
079;3/27/2020 3:00:00 PM;1;2,2;8;10,6;78;5,3;11;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
079;3/27/2020 3:00:00 PM;4;2,6;Sin medicion;11;Sin medicion;5,6;1,05;2,8;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
080;3/28/2020 7:00:00 AM;1;2;8;10;79;5;1,02;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
080;3/28/2020 7:00:00 AM;4;2,1;Sin medicion;9,5;Sin medicion;5;0,93;0,22;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
080;3/28/2020 6:30:00 PM;1;2,2;8;10,6;78;5,3;11;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
080;3/28/2020 6:30:00 PM;4;2,5;Sin medicion;1,05;Sin medicion;5,5;1;2,7;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
081;3/29/2020 3:00:00 AM;1;2;4;9,8;74;5,2;10,2;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
081;3/29/2020 3:00:00 AM;4;2,5;Sin medicion;1;Sin medicion;5,5;0,95;2,7;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
081;3/29/2020 6:30:00 PM;1;2,1;6;10,2;76;5,2;10,6;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
081;3/29/2020 6:30:00 PM;4;2,6;Sin medicion;10,5;Sin medicion;5,6;1;2,7;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
082;3/30/2020 4:00:00 AM;1;2;4;9,8;74;5;10,2;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
082;3/30/2020 4:00:00 AM;4;2,5;Sin medicion;10,1;Sin medicion;5,5;0,96;2,7;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
082;3/30/2020 8:00:00 PM;1;1,95;7;10;82;5;1,02;2,2;3;3;Sin medicion;20;Sin medicion;Sin medicion
082;3/30/2020 8:00:00 PM;4;2;Sin medicion;10;Sin medicion;5;1;2,3;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
083;3/31/2020 8:29:41 AM;1;2;7;10,2;76;4,8;1,2;0,23;2,8;2,8;Sin medicion;30;30;Sin medicion
083;3/31/2020 8:29:41 AM;4;2,2;Sin medicion;10,5;Sin medicion;5,3;1;0,25;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
084;4/1/2020 11:10:48 AM;1;1,9;6;10,3;76;4,6;1,5;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
084;4/1/2020 11:10:48 AM;4;2,6;Sin medicion;11;Sin medicion;5,3;1,1;0,25;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
085;4/2/2020 7:00:00 AM;1;2;7;10;80;5;1,1;2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
085;4/2/2020 7:00:00 AM;4;2,2;Sin medicion;10;Sin medicion;5;0,95;2,1;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
085;4/2/2020 3:00:00 PM;1;2;8;10,5;81;5;1,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
085;4/2/2020 3:00:00 PM;4;2;Sin medicion;11;Sin medicion;5;0,95;0,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
086;4/3/2020 8:00:00 AM;1;2;5;10,2;75;5,1;10,6;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
086;4/3/2020 8:00:00 AM;4;2,5;Sin medicion;1;Sin medicion;5,5;0,95;2,6;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
086;4/3/2020 11:00:00 AM;1;2;7;10,4;77;5,1;10,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
086;4/3/2020 11:00:00 AM;4;2,5;Sin medicion;10,3;Sin medicion;5,5;0,98;2,7;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
086;4/3/2020 3:00:00 PM;1;2,1;8;10,6;78;5,1;11;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
086;4/3/2020 3:00:00 PM;4;2,5;Sin medicion;1,05;Sin medicion;5,5;1;2,7;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
087;4/4/2020 7:30:00 AM;1;2;8;10;80;5;1,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
087;4/4/2020 7:30:00 AM;2;2,2;Sin medicion;10;Sin medicion;5;0,95;0,21;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
087;4/4/2020 5:00:00 PM;1;1,8;7;10;80;5;1,1;0,22;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
087;4/4/2020 5:00:00 PM;4;2,5;Sin medicion;10;Sin medicion;5;0,95;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
087;4/4/2020 6:30:00 PM;1;2,1;9;10,7;80;5,2;11,2;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
087;4/4/2020 6:30:00 PM;4;2,2;Sin medicion;1,08;Sin medicion;5,2;1,04;2,5;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
088;4/5/2020 4:00:00 AM;1;2;4;9,8;74;5,1;10,2;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
088;4/5/2020 4:00:00 AM;4;2,4;Sin medicion;10,2;Sin medicion;5,4;0,97;2,6;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
088;4/5/2020 8:00:00 AM;1;2;8;10;80;5;1,1;2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
088;4/5/2020 8:00:00 AM;4;2,1;Sin medicion;9,8;Sin medicion;5;1;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
088;4/5/2020 4:00:00 PM;1;2,1;9;10;80;5;1,1;0,22;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
088;4/5/2020 4:00:00 PM;4;2,5;Sin medicion;11;Sin medicion;5;1,1;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
088;4/5/2020 6:30:00 PM;1;2,1;10;11;80;5,2;11,4;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
088;4/5/2020 6:30:00 PM;4;2,4;Sin medicion;11;Sin medicion;5,4;1,05;2,6;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
089;4/6/2020 3:00:00 AM;1;2,1;5;10;75;5,1;10,4;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
089;4/6/2020 3:00:00 AM;4;2,4;Sin medicion;1,02;Sin medicion;5,4;0,97;2,6;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
089;4/6/2020 8:00:00 PM;1;2;9;10;80;5;1,12;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
089;4/6/2020 8:00:00 PM;4;2,2;Sin medicion;10;Sin medicion;5;1,05;0,22;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
090;4/7/2020 8:00:00 PM;1;2;9;10;80;5;1,1;0,22;2,8;2,9;Sin medicion;Sin medicion;Sin medicion;Sin medicion
090;4/7/2020 8:00:00 PM;4;2,5;Sin medicion;11;Sin medicion;5;1,05;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
091;4/8/2020 6:39:34 AM;1;2;4;10;70;5,2;1,6;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
091;4/8/2020 6:39:34 AM;4;2,3;Sin medicion;10,5;Sin medicion;5,5;1,1;0,25;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
092;4/9/2020 12:00:00 PM;1;2;5;10,2;75;5;10,6;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
092;4/9/2020 12:00:00 PM;1;2,1;8;10,6;78;5,1;11;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
092;4/9/2020 12:00:00 PM;4;2,2;Sin medicion;0,97;Sin medicion;5,2;0,93;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;25
092;4/9/2020 12:00:00 PM;4;2,2;Sin medicion;1,05;Sin medicion;5,2;1;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
092;4/9/2020 12:01:21 PM;1;2;7;10;80;4,8;1,9;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
092;4/9/2020 12:01:21 PM;4;2,4;Sin medicion;10;Sin medicion;5,4;0,96;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;31
093;4/10/2020 6:30:00 AM;1;2;5;10;75;5;10,4;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
093;4/10/2020 6:30:00 AM;4;2,2;Sin medicion;0,95;Sin medicion;5,2;0,91;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
093;4/10/2020 11:00:00 AM;1;2,1;7;10,4;77;5,1;10,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
093;4/10/2020 11:00:00 AM;4;2,2;Sin medicion;10,2;Sin medicion;5,2;0,97;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
093;4/10/2020 3:00:00 PM;1;2,1;8;10,6;78;5,2;11;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
093;4/10/2020 3:00:00 PM;4;2,2;Sin medicion;10,5;Sin medicion;5,2;1;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
094;4/11/2020 2:20:48 AM;1;2,1;7;10,5;78;5;1,5;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
094;4/11/2020 2:20:48 AM;4;2,3;Sin medicion;11;Sin medicion;5,5;1;0,26;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
094;4/11/2020 7:00:00 AM;1;2;8;10;80;5;1,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
094;4/11/2020 7:00:00 AM;4;2,1;Sin medicion;10;Sin medicion;5;1;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
094;4/11/2020 4:00:00 PM;1;2,2;8;10;80;5;1,1;2,1;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
094;4/11/2020 4:00:00 PM;4;2;Sin medicion;10;Sin medicion;5;0,98;0,22;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
095;4/12/2020 7:00:00 AM;1;2,1;6;10;80;5;1,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
095;4/12/2020 7:00:00 AM;4;2,4;Sin medicion;10;Sin medicion;5;0,95;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
095;4/12/2020 5:00:00 PM;1;2;7;10;80;5;1,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
095;4/12/2020 5:00:00 PM;4;2,2;Sin medicion;10;Sin medicion;5;0,96;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
095;4/12/2020 6:15:00 PM;1;2;6;10,2;76;5,1;10,6;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
095;4/12/2020 6:15:00 PM;4;2,2;Sin medicion;1,02;Sin medicion;5,2;0,97;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
096;4/13/2020 3:00:00 AM;1;2;5;10;75;5;10,4;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
096;4/13/2020 3:00:00 AM;4;2,2;Sin medicion;1;Sin medicion;5,2;0,95;2,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
096;4/13/2020 7:00:00 AM;1;2,1;8;10;80;5;1,1;0,21;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
096;4/13/2020 7:00:00 AM;4;2,1;Sin medicion;10;Sin medicion;5;0,95;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
096;4/13/2020 3:00:00 PM;1;2,1;8;10;80;5;0,95;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
096;4/13/2020 3:00:00 PM;4;2;Sin medicion;10;Sin medicion;5;1,12;0,23;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
096;4/13/2020 6:30:00 PM;1;2,1;7;10,4;77;5,1;10,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
096;4/13/2020 6:30:00 PM;4;2,2;Sin medicion;1,05;Sin medicion;5,2;1;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
097;4/14/2020 3:00:00 AM;1;2;5;10;75;5;10,4;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
097;4/14/2020 3:00:00 AM;4;2,2;Sin medicion;1,03;Sin medicion;5,2;0,98;2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
098;4/15/2020 2:00:00 AM;1;2,1;7;10;80;5;1,1;0,25;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
098;4/15/2020 2:00:00 AM;4;2;Sin medicion;10;Sin medicion;5;0,96;0,22;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
098;4/15/2020 8:00:00 PM;1;2;6;10;80;5;1;2,4;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
098;4/15/2020 8:00:00 PM;4;2;Sin medicion;10;Sin medicion;5;0,96;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
099;4/16/2020 6:28:28 AM;1;2,1;5;10,2;76;4,8;1,5;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
099;4/16/2020 6:28:28 AM;4;2,3;Sin medicion;10,5;Sin medicion;5,3;1,1;0,26;Sin medicion;Sin medicion;Sin medicion;Sin medicion;Sin medicion;25
100;4/17/2020 7:27:54 AM;1;1,9;6;10;76;4,6;1,3;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
100;4/17/2020 7:27:54 AM;4;2,1;Sin medicion;11;Sin medicion;5,2;1,1;0,26;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
100;4/17/2020 3:48:35 PM;1;2;7;10;78;4,5;1,3;0,23;2,9;2,9;Sin medicion;30;30;Sin medicion
100;4/17/2020 3:48:35 PM;4;2,1;Sin medicion;10,5;Sin medicion;5,2;1,1;0,32;Sin medicion;Sin medicion;0,31;Sin medicion;Sin medicion;31
101;4/18/2020 6:30:00 AM;1;2;5;10;75;5;10,4;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
101;4/18/2020 6:30:00 AM;4;2,3;Sin medicion;1;Sin medicion;5,4;0,93;2,1;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
101;4/18/2020 11:00:00 AM;1;2;7;10,4;77;5;10,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
101;4/18/2020 11:00:00 AM;4;2,5;Sin medicion;1,03;Sin medicion;5,5;0,98;2,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
101;4/18/2020 3:00:00 PM;1;2;7;10,4;77;5;10,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
101;4/18/2020 3:00:00 PM;4;2,4;Sin medicion;1,05;Sin medicion;5,5;1;2,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
102;4/19/2020 6:30:00 AM;1;2;4;9,8;74;5;10,2;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
102;4/19/2020 6:30:00 AM;4;2,4;Sin medicion;1;Sin medicion;5,4;0,94;2,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
102;4/19/2020 12:00:00 PM;1;2;6;10,2;76;5;10,6;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
102;4/19/2020 12:00:00 PM;4;2,4;Sin medicion;10,2;Sin medicion;5,4;0,97;2,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
102;4/19/2020 4:00:00 PM;1;2;8;10,4;78;5;10,8;2,2;2,9;2,8;Sin medicion;Sin medicion;Sin medicion;Sin medicion
102;4/19/2020 4:00:00 PM;4;2,4;Sin medicion;10,4;Sin medicion;5,4;0,98;2,2;Sin medicion;Sin medicion;3;Sin medicion;Sin medicion;Sin medicion
103;4/20/2020 7:00:00 AM;1;2;6;10;10;5;1,1;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
103;4/20/2020 7:00:00 AM;4;2,5;Sin medicion;10;Sin medicion;5;0,95;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
103;4/20/2020 3:30:00 PM;1;2,1;7;10;80;5;1,1;0,2;3;3;0,3;Sin medicion;Sin medicion;Sin medicion
103;4/20/2020 3:30:00 PM;4;2,5;Sin medicion;10;Sin medicion;5;0,95;0,21;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
104;4/21/2020 8:45:00 AM;1;2;7;10;80;509;1,05;0,2;3;3;Sin medicion;Sin medicion;Sin medicion;Sin medicion
104;4/21/2020 8:45:00 AM;4;2,4;Sin medicion;10;Sin medicion;5;0,95;0,2;Sin medicion;Sin medicion;0,3;Sin medicion;Sin medicion;Sin medicion
